City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Ugoofaaru,MV,5.6667,73.0,82.85,75,100,14.63,overcast clouds
260,Jibuti,DJ,11.5,42.5,81.82,62,37,5.64,scattered clouds
261,Vestmannaeyjar,IS,63.4427,-20.2734,46.99,89,100,19.6,overcast clouds
262,Hasaki,JP,35.7333,140.8333,73.29,74,100,6.93,light rain
263,Malindi,KE,-3.2175,40.1191,76.41,83,63,16.78,light rain
264,Te Anau,NZ,-45.4167,167.7167,47.23,80,1,0.92,clear sky
265,Oranjemund,NA,-28.55,16.4333,65.73,33,0,16.04,clear sky
266,Kahului,US,20.8947,-156.47,86.02,63,40,25.32,scattered clouds
267,Bowen,AU,-20.0167,148.2333,69.87,60,58,13.35,broken clouds
268,College,US,64.8569,-147.8028,74.08,32,75,6.91,broken clouds
269,Bairiki,KI,1.3292,172.9752,86.0,74,20,9.13,few clouds
270,Nouadhibou,MR,20.931,-17.0347,66.6,78,57,19.35,broken clouds
271,Cedar City,US,37.6775,-113.0619,88.77,7,1,21.85,clear sky
272,Leshukonskoye,RU,64.8989,45.7622,50.7,74,85,7.52,overcast clouds
273,Clarence Town,AU,-32.5833,151.7833,60.82,44,0,5.61,clear sky
274,Husavik,IS,66.0449,-17.3389,48.81,83,100,2.26,overcast clouds
275,Southbridge,US,42.0751,-72.0334,82.0,72,86,1.99,overcast clouds
276,Grenville,GD,12.1167,-61.6167,80.65,80,100,12.84,overcast clouds
277,Ponta Do Sol,PT,32.6667,-17.1,67.01,74,54,4.45,broken clouds
278,Buriti Bravo,BR,-5.8372,-43.8336,73.11,62,0,0.83,clear sky
279,Ilulissat,GL,69.2167,-51.1,42.82,70,11,10.36,few clouds
280,Lincoln,US,40.8,-96.667,87.24,69,20,3.0,few clouds
281,Lata,PT,40.1629,-8.3327,59.81,92,0,0.63,clear sky
282,Poole,GB,50.7167,-2.0,60.15,87,74,1.99,broken clouds
283,Solnechnyy,RU,50.7214,136.6319,60.93,54,13,3.29,few clouds
284,Tsogni,GA,-2.7942,10.0988,75.25,91,96,2.91,overcast clouds
285,Susangerd,IR,31.5608,48.1831,91.42,13,0,10.0,clear sky
